"pais","iso3c","año","apertura_comercial","pbi_crec","ied_pct_pbi"
"Eswatini","SWZ",2001,65.7773849135062,1.05476508664167,1.90149211128434
"Eswatini","SWZ",2010,95.72973045329,3.79375507745696,3.05626477337983
"Eswatini","SWZ",1990,22.9671830154975,21.0180005361393,2.70104296721308
"Ethiopia","ETH",2001,37.2788790923351,8.30130632052327,4.24475958430851
"Ethiopia","ETH",1990,83.6386132424108,2.72645178272684,1.17109180715754
"Ethiopia","ETH",2010,49.268997799433,12.5505383459307,0.963030625359937
"Faroe Islands","FRO",1990,78.8765556676757,-26.2288925207873,2.84504346292679
"Faroe Islands","FRO",2001,104.903331365787,3.65834646929586,1.7280613479871
"Faroe Islands","FRO",2010,97.1839685226701,-0.379817991218616,10.169807189939
"Fiji","FJI",2001,129.997341839447,2.00000014675206,2.49941576652652
"Fiji","FJI",2010,121.227903395671,2.95467242212241,5.67141021084988
"Fiji","FJI",1990,129.5,5.80000272386,-2.27272676116573
"Finland","FIN",1990,45.8390132360055,0.691649917806032,0.574192375289952
"Finland","FIN",2010,75.4612085231229,3.1682879121621,4.89959763196754
"Finland","FIN",2001,70.2841376639721,2.64026205699308,2.48974555634763
"France","FRA",2010,56.587555247796,2.00032476039051,1.46961673029144
"France","FRA",2001,56.8932328560722,1.89946701186636,3.65899790543178
"France","FRA",1990,44.5862869486888,2.82962715326478,1.0482480186712
"French Polynesia","PYF",1990,35.6167735553299,0.129883207294256,0.667437809861979
"French Polynesia","PYF",2001,94.968671679198,-0.341595578089056,0.662843284040967
"French Polynesia","PYF",2010,54.0438821122259,-2.4660641898174,1.05647287708659
"Gabon","GAB",2010,89.1576627248353,7.08988731455126,3.64540417621404
"Gabon","GAB",1990,76.8974453905961,5.19223727652398,1.23411082335865
"Gabon","GAB",2001,83.6386132424108,2.13523342197423,-2.00298894717111
"Gambia, The","GMB",1990,131.485415341849,3.55887936756983,4.45308295613349
"Gambia, The","GMB",2010,41.0125150279466,5.90833580968288,2.40659689644853
"Gambia, The","GMB",2001,46.9292631865623,5.80000024323377,5.16139810385096
"Georgia","GEO",2001,63.3299250824094,4.80729867243699,3.41273251705983
"Georgia","GEO",1990,85.5271949752773,-14.788785046729,1.31205425123863
"Georgia","GEO",2010,81.6733870603639,6.24640865303363,7.41065931415781
"Germany","DEU",2010,73.8626407651201,4.14676755040489,2.48078642393235
"Germany","DEU",2001,59.5592863682118,1.63654099437316,2.89610853662772
"Germany","DEU",1990,45.6889546847935,5.25500609657068,0.143783444028002
"Ghana","GHA",1990,42.7281781307805,3.32881788321653,0.251311464912112
